word,n_morphemes,note,ratingcmp,zipf_freq,c1,c2
gadabout,2,gad+about ratingcmp=24.2,24.25,1.768955396864122,gad,about
knockabout,2,knock+about ratingcmp=41.5,41.46154,1.592864137808441,knock,about
turnabout,2,turn+about ratingcmp=72.6,72.551727,2.333226827302685,turn,about
walkabout,2,walk+about ratingcmp=68.3,68.28125,2.246076651583785,walk,about
runabout,2,run+about ratingcmp=69.7,69.689651,1.893894133472422,run,about
roundabout,2,round+about ratingcmp=63.2,63.1875,2.653561978162053,round,about
roustabout,2,roust+about ratingcmp=28.6,28.571428,1.768955396864122,roust,about
layabout,2,lay+about ratingcmp=49.7,49.692307,1.990804146480479,lay,about
walkabouts,2,walk+abouts ratingcmp=59.3,59.285713,2.194924129136403,walk,abouts
roustabouts,2,roust+abouts ratingcmp=30.0,30.037037,1.592864137808441,roust,abouts
roundabouts,2,round+abouts ratingcmp=63.2,63.25,1.592864137808441,round,abouts
whereabouts,2,where+abouts ratingcmp=76.0,75.964287,3.807707985856139,where,abouts
headache,2,head+ache ratingcmp=93.6,93.578949,4.149166638575728,head,ache
bellyache,2,belly+ache ratingcmp=92.9,92.875,2.495954124800384,belly,ache
heartache,2,heart+ache ratingcmp=75.4,75.435898,3.16689540553616,heart,ache
earache,2,ear+ache ratingcmp=82.5,82.540543,2.495954124800384,ear,ache
backache,2,back+ache ratingcmp=88.2,88.205132,2.437962177822698,back,ache
stomachache,2,stomach+ache ratingcmp=94.5,94.459457,3.032196831638704,stomach,ache
toothache,2,tooth+ache ratingcmp=89.8,89.769234,3.062686153786604,tooth,ache
headaches,2,head+aches ratingcmp=93.5,93.5,3.726403046178659,head,aches
heartaches,2,heart+aches ratingcmp=84.1,84.080002,2.634256822966666,heart,aches
bellyaches,2,belly+aches ratingcmp=92.8,92.760002,1.893894133472422,belly,aches
earaches,2,ear+aches ratingcmp=91.1,91.148148,1.768955396864122,ear,aches
stomachaches,2,stomach+aches ratingcmp=96.8,96.839996,2.405777494451296,stomach,aches
toothaches,2,tooth+aches ratingcmp=95.4,95.39286,1.990804146480479,tooth,aches
backaches,2,back+aches ratingcmp=94.7,94.666664,2.29183414214446,back,aches
wiseacre,2,wise+acre ratingcmp=26.2,26.153847,2.069985392528103,wise,acre
wiseacres,2,wise+acres ratingcmp=40.5,40.458332,1.592864137808441,wise,acres
playacting,2,play+acting ratingcmp=71.5,71.480003,2.333226827302685,play,acting
playactor,2,play+actor ratingcmp=74.9,74.916664,1.768955396864122,play,actor
hereafter,2,here+after ratingcmp=78.2,78.23333,3.136932182158717,here,after
midafternoon,2,mid+afternoon ratingcmp=89.0,89.035713,1.768955396864122,mid,afternoon
newsagent,2,news+agent ratingcmp=67.6,67.63636,1.592864137808441,news,agent
midair,2,mid+air ratingcmp=83.8,83.785713,2.848136642911747,mid,air
carryall,2,carry+all ratingcmp=66.7,66.678574,1.990804146480479,carry,all
coverall,2,cover+all ratingcmp=77.0,77.0,1.893894133472422,cover,all
holdall,2,hold+all ratingcmp=48.4,48.400002,1.592864137808441,hold,all
tagalong,2,tag+along ratingcmp=69.1,69.071426,1.990804146480479,tag,along
crabapple,2,crab+apple ratingcmp=56.2,56.241379,2.592864137808441,crab,apple
pineapple,2,pine+apple ratingcmp=34.4,34.358974,3.409105437800224,pine,apple
pineapples,2,pine+apples ratingcmp=24.3,24.285715,2.672045383856066,pine,apples
yardarm,2,yard+arm ratingcmp=34.4,34.416668,2.333226827302685,yard,arm
firearm,2,fire+arm ratingcmp=41.8,41.756756,3.178324867316942,fire,arm
yardarms,2,yard+arms ratingcmp=43.4,43.375,1.768955396864122,yard,arms
firearms,2,fire+arms ratingcmp=63.6,63.586208,3.484958740498922,fire,arms
turnaround,2,turn+around ratingcmp=88.3,88.300003,2.706807490115278,turn,around
wraparound,2,wrap+around ratingcmp=66.2,66.214287,2.194924129136403,wrap,around
potash,2,pot+ash ratingcmp=34.2,34.224998,2.136932182158717,pot,ash
jackass,2,jack+ass ratingcmp=44.3,44.333332,3.833413386091041,jack,ass
jackasses,2,jack+asses ratingcmp=42.3,42.285713,2.87161773876127,jack,asses
breakaway,2,break+away ratingcmp=86.8,86.76667,2.835902186494736,break,away
stowaway,2,stow+away ratingcmp=75.3,75.344826,2.835902186494736,stow,away
straightaway,2,straight+away ratingcmp=61.0,61.0,3.007837485779259,straight,away
getaway,2,get+away ratingcmp=79.0,78.965515,3.586300368306053,get,away
castaway,2,cast+away ratingcmp=72.6,72.551727,2.810348082022347,cast,away
throwaway,2,throw+away ratingcmp=82.4,82.400002,2.29183414214446,throw,away
takeaway,2,take+away ratingcmp=84.2,84.208336,2.136932182158717,take,away
cutaway,2,cut+away ratingcmp=77.4,77.3871,1.990804146480479,cut,away
runaway,2,run+away ratingcmp=86.5,86.516129,3.609897477107221,run,away
giveaway,2,give+away ratingcmp=91.9,91.931038,2.904617998864195,give,away
hideaway,2,hide+away ratingcmp=82.6,82.6129,3.016110011745249,hide,away
walkaway,2,walk+away ratingcmp=70.6,70.586205,1.768955396864122,walk,away
hideaways,2,hide+aways ratingcmp=65.6,65.555557,1.592864137808441,hide,aways
runaways,2,run+aways ratingcmp=75.8,75.75,2.91508343254236,run,aways
cutaways,2,cut+aways ratingcmp=62.0,62.047619,1.768955396864122,cut,aways
castaways,2,cast+aways ratingcmp=78.6,78.60714,2.069985392528103,cast,aways
getaways,2,get+aways ratingcmp=77.1,77.10714,2.194924129136403,get,aways
straightaways,2,straight+aways ratingcmp=54.0,54.040001,1.592864137808441,straight,aways
giveaways,2,give+aways ratingcmp=87.7,87.65625,1.990804146480479,give,aways
stowaways,2,stow+aways ratingcmp=71.2,71.25,2.706807490115278,stow,aways
pickaxe,2,pick+axe ratingcmp=55.5,55.53846,2.246076651583785,pick,axe
pickaxes,2,pick+axes ratingcmp=63.4,63.407406,1.768955396864122,pick,axes
crybabies,2,cry+babies ratingcmp=81.2,81.178574,2.194924129136403,cry,babies
crybaby,2,cry+baby ratingcmp=79.4,79.413795,3.124343054850696,cry,baby
razorback,2,razor+back ratingcmp=43.7,43.685715,2.069985392528103,razor,back
crookback,2,crook+back ratingcmp=38.1,38.148148,1.592864137808441,crook,back
slingback,2,sling+back ratingcmp=53.6,53.590908,1.768955396864122,sling,back
wetback,2,wet+back ratingcmp=50.8,50.833332,2.689774150816497,wet,back
throwback,2,throw+back ratingcmp=67.5,67.548386,2.723197906303447,throw,back
canvasback,2,canvas+back ratingcmp=36.4,36.392857,1.768955396864122,canvas,back
paperback,2,paper+back ratingcmp=50.2,50.25,2.672045383856066,paper,back
feedback,2,feed+back ratingcmp=49.0,49.025642,3.44105325479984,feed,back
humpback,2,hump+back ratingcmp=60.3,60.257141,2.634256822966666,hump,back
fullback,2,full+back ratingcmp=39.5,39.473682,2.653561978162053,full,back
kickback,2,kick+back ratingcmp=58.8,58.766666,2.495954124800384,kick,back
flashback,2,flash+back ratingcmp=55.6,55.648647,3.032196831638704,flash,back
halfback,2,half+back ratingcmp=36.7,36.704544,2.738992173486679,half,back
greenback,2,green+back ratingcmp=36.1,36.075001,1.592864137808441,green,back
fatback,2,fat+back ratingcmp=48.2,48.1875,2.069985392528103,fat,back
blowback,2,blow+back ratingcmp=59.0,58.965519,2.495954124800384,blow,back
hardback,2,hard+back ratingcmp=56.6,56.604168,1.990804146480479,hard,back
hunchback,2,hunch+back ratingcmp=79.6,79.625,2.999404318242396,hunch,back
quarterback,2,quarter+back ratingcmp=52.3,52.310345,3.679223968483189,quarter,back
outback,2,out+back ratingcmp=70.4,70.35714,2.973075379520047,out,back
fallback,2,fall+back ratingcmp=68.0,68.0,2.810348082022347,fall,back
cutback,2,cut+back ratingcmp=55.2,55.23077,2.547106647247766,cut,back
rollback,2,roll+back ratingcmp=62.0,62.035713,1.592864137808441,roll,back
horseback,2,horse+back ratingcmp=76.5,76.512817,3.274105375184028,horse,back
cornerback,2,corner+back ratingcmp=49.8,49.814816,2.29183414214446,corner,back
drawback,2,draw+back ratingcmp=43.9,43.924999,2.810348082022347,draw,back
hatchback,2,hatch+back ratingcmp=52.7,52.717949,2.246076651583785,hatch,back
callback,2,call+back ratingcmp=77.5,77.535713,2.945046655919803,call,back
saddleback,2,saddle+back ratingcmp=70.9,70.875,1.990804146480479,saddle,back
diamondback,2,diamond+back ratingcmp=39.4,39.444443,2.069985392528103,diamond,back
piggyback,2,piggy+back ratingcmp=31.5,31.459459,3.040022169150661,piggy,back
payback,2,pay+back ratingcmp=75.1,75.148148,3.584090213500936,pay,back
playback,2,play+back ratingcmp=68.0,68.033333,3.172647734425251,play,back
tailback,2,tail+back ratingcmp=50.6,50.5625,2.29183414214446,tail,back
setback,2,set+back ratingcmp=63.0,63.0,3.189461233434901,set,back
mossback,2,moss+back ratingcmp=35.7,35.703705,1.592864137808441,moss,back
pullback,2,pull+back ratingcmp=77.9,77.903229,1.592864137808441,pull,back
silverback,2,silver+back ratingcmp=62.8,62.8125,2.333226827302685,silver,back
linebacker,2,line+backer ratingcmp=45.6,45.57143,2.783195835978733,line,backer
linebackers,2,line+backers ratingcmp=56.2,56.19355,2.437962177822698,line,backers
halfbacks,2,half+backs ratingcmp=46.9,46.933334,1.768955396864122,half,backs
callbacks,2,call+backs ratingcmp=79.6,79.5625,2.467925401200141,call,backs
piggybacks,2,piggy+backs ratingcmp=34.1,34.076923,1.768955396864122,piggy,backs
cutbacks,2,cut+backs ratingcmp=58.1,58.142857,2.982030222172974,cut,backs
humpbacks,2,hump+backs ratingcmp=76.6,76.599998,2.246076651583785,hump,backs
quarterbacks,2,quarter+backs ratingcmp=38.9,38.903225,2.672045383856066,quarter,backs
hardbacks,2,hard+backs ratingcmp=54.4,54.407406,1.592864137808441,hard,backs
fullbacks,2,full+backs ratingcmp=31.0,30.959999,1.592864137808441,full,backs
paybacks,2,pay+backs ratingcmp=73.7,73.666664,1.893894133472422,pay,backs
greenbacks,2,green+backs ratingcmp=46.8,46.809525,2.614053436878379,green,backs
diamondbacks,2,diamond+backs ratingcmp=45.2,45.192307,1.592864137808441,diamond,backs
razorbacks,2,razor+backs ratingcmp=42.8,42.84,1.990804146480479,razor,backs
hunchbacks,2,hunch+backs ratingcmp=87.4,87.416664,1.893894133472422,hunch,backs
flashbacks,2,flash+backs ratingcmp=64.6,64.639999,2.835902186494736,flash,backs
kickbacks,2,kick+backs ratingcmp=53.9,53.933334,2.614053436878379,kick,backs
drawbacks,2,draw+backs ratingcmp=52.4,52.42857,2.570587743097289,draw,backs
paperbacks,2,paper+backs ratingcmp=66.0,66.0,2.405777494451296,paper,backs
schoolbag,2,school+bag ratingcmp=94.2,94.181816,2.136932182158717,school,bag
beanbag,2,bean+bag ratingcmp=63.5,63.535713,2.723197906303447,bean,bag
gasbag,2,gas+bag ratingcmp=49.6,49.592594,1.893894133472422,gas,bag
feedbag,2,feed+bag ratingcmp=64.5,64.525002,2.333226827302685,feed,bag
moneybag,2,money+bag ratingcmp=87.5,87.519997,1.990804146480479,money,bag
handbag,2,hand+bag ratingcmp=72.6,72.564102,3.422167910639466,hand,bag
saddlebag,2,saddle+bag ratingcmp=56.8,56.846153,2.437962177822698,saddle,bag
